"datatime","T_mu"
"01.04.2020","-0.15"
"02.04.2020","3.04"
"03.04.2020","6.55"
"04.04.2020","5.85"
"05.04.2020","6.14"
"06.04.2020","10.22"
"07.04.2020","9.74"
"08.04.2020","10.54"
"09.04.2020","11.89"
"10.04.2020","9.94"
"11.04.2020","7.65"
"12.04.2020","10.15"
"13.04.2020","11.71"
"14.04.2020","4.10"
"15.04.2020","4.26"
"16.04.2020","12.21"
"17.04.2020","11.12"
"18.04.2020","7.56"
"19.04.2020","8.32"
"20.04.2020","5.60"
"21.04.2020","6.78"
"22.04.2020","6.90"
"23.04.2020","9.49"
"24.04.2020","11.06"
"25.04.2020","11.36"
"26.04.2020","8.00"
"27.04.2020","10.21"
"28.04.2020","12.53"
"29.04.2020","15.20"
"30.04.2020","12.68"
"01.05.2020","10.95"
"02.05.2020","13.75"
"03.05.2020","9.46"
"04.05.2020","9.49"
"05.05.2020","8.17"
"06.05.2020","4.81"
"07.05.2020","9.07"
"08.05.2020","10.62"
"09.05.2020","12.41"
"10.05.2020","14.60"
"11.05.2020","20.04"
"12.05.2020","9.56"
"13.05.2020","6.01"
"14.05.2020","6.69"
"15.05.2020","4.71"
"16.05.2020","9.65"
"17.05.2020","10.80"
"18.05.2020","12.30"
"19.05.2020","16.46"
"20.05.2020","13.44"
"21.05.2020","10.29"
"22.05.2020","7.79"
"23.05.2020","10.90"
"24.05.2020","10.46"
"25.05.2020","9.71"
"26.05.2020","10.53"
"27.05.2020","12.57"
"28.05.2020","13.22"
"29.05.2020","13.65"
"30.05.2020","10.46"
"31.05.2020","11.80"
"01.06.2020","13.30"
"02.06.2020","8.46"
"03.06.2020","10.05"
"04.06.2020","11.61"
"05.06.2020","17.26"
"06.06.2020","19.35"
"07.06.2020","21.54"
"08.06.2020","20.14"
"09.06.2020","17.38"
"10.06.2020","17.58"
"11.06.2020","17.96"
"12.06.2020","21.16"
"13.06.2020","24.50"
"14.06.2020","17.11"
"15.06.2020","17.56"
"16.06.2020","18.53"
"17.06.2020","20.01"
"18.06.2020","19.85"
"19.06.2020","18.86"
"20.06.2020","18.60"
"21.06.2020","18.79"
"22.06.2020","20.19"
"23.06.2020","18.12"
"24.06.2020","16.86"
"25.06.2020","20.66"
"26.06.2020","21.76"
"27.06.2020","21.45"
"28.06.2020","21.01"
"29.06.2020","22.55"
"30.06.2020","19.51"
"01.07.2020","21.18"
"02.07.2020","21.80"
"03.07.2020","19.99"
"04.07.2020","19.62"
"05.07.2020","20.51"
"06.07.2020","22.50"
"07.07.2020","15.66"
"08.07.2020","14.87"
"09.07.2020","15.72"
"10.07.2020","21.76"
"11.07.2020","20.49"
"12.07.2020","12.79"
"13.07.2020","12.95"
"14.07.2020","14.16"
"15.07.2020","16.76"
